,location,size,total_sqft,bath,price,bhk,price_per_sqft
69,5th Phase JP Nagar,1 BHK,600.0,1.0,30.0,1,5000.0
70,5th Phase JP Nagar,2 BHK,1390.0,2.0,65.0,2,4676.258992805755
71,5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000.0
72,5th Phase JP Nagar,2 BHK,1000.0,2.0,48.0,2,4800.0
73,5th Phase JP Nagar,3 BHK,1350.0,2.0,75.0,3,5555.555555555556
74,5th Phase JP Nagar,1 BHK,552.0,1.0,23.5,1,4257.246376811594
75,5th Phase JP Nagar,2 BHK,1200.0,2.0,51.0,2,4250.0
79,5th Phase JP Nagar,2 BHK,1030.0,2.0,57.0,2,5533.980582524272
80,5th Phase JP Nagar,2 BHK,1200.0,2.0,68.0,2,5666.666666666667
81,5th Phase JP Nagar,2 BHK,1190.0,2.0,61.8,2,5193.27731092437
82,5th Phase JP Nagar,5 BHK,4000.0,5.0,170.0,5,4250.0
83,5th Phase JP Nagar,2 BHK,1080.0,2.0,53.0,2,4907.407407407408
84,5th Phase JP Nagar,2 BHK,1041.0,2.0,54.0,2,5187.319884726225
85,5th Phase JP Nagar,2 BHK,812.0,2.0,42.0,2,5172.413793103448
86,5th Phase JP Nagar,2 BHK,1010.0,2.0,57.0,2,5643.564356435643
88,5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581.395348837209
89,6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2,6208.053691275168
90,6th Phase JP Nagar,2 BHK,1180.0,2.0,80.0,2,6779.661016949152
91,6th Phase JP Nagar,4 BHK,3245.0,4.0,250.0,4,7704.160246533128
92,6th Phase JP Nagar,3 BHK,1645.0,3.0,100.0,3,6079.0273556231
93,6th Phase JP Nagar,2 BHK,1140.0,2.0,65.0,2,5701.754385964912
94,6th Phase JP Nagar,3 BHK,2040.0,3.0,200.0,3,9803.921568627451
95,6th Phase JP Nagar,2 BHK,1213.0,2.0,63.0,2,5193.734542456719
96,6th Phase JP Nagar,2 BHK,1216.0,2.0,60.0,2,4934.210526315789
97,6th Phase JP Nagar,2 BHK,1460.0,2.0,80.0,2,5479.45205479452
98,6th Phase JP Nagar,3 BHK,2003.0,3.0,200.0,3,9985.022466300548
99,6th Phase JP Nagar,3 BHK,1810.0,3.0,131.0,3,7237.5690607734805
100,6th Phase JP Nagar,3 BHK,1515.0,2.0,135.0,3,8910.89108910891
101,6th Phase JP Nagar,2 BHK,1192.0,2.0,75.0,2,6291.946308724832
102,6th Phase JP Nagar,2 BHK,1280.0,2.0,88.0,2,6875.0
103,7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2,6666.666666666667
104,7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2,7322.834645669292
105,7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3,7042.2535211267605
106,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
107,7th Phase JP Nagar,2 BHK,1245.0,2.0,94.0,2,7550.2008032128515
108,7th Phase JP Nagar,2 BHK,1175.0,2.0,82.0,2,6978.723404255319
109,7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3,6785.714285714285
110,7th Phase JP Nagar,3 BHK,2225.0,3.0,160.0,3,7191.011235955056
111,7th Phase JP Nagar,2 BHK,1050.0,2.0,71.0,2,6761.9047619047615
112,7th Phase JP Nagar,2 BHK,1100.0,2.0,46.0,2,4181.818181818182
113,7th Phase JP Nagar,2 BHK,918.0,2.0,50.49,2,5500.0
114,7th Phase JP Nagar,3 BHK,1450.0,2.0,100.0,3,6896.551724137931
115,7th Phase JP Nagar,2 BHK,1190.0,2.0,49.98,2,4200.0
116,7th Phase JP Nagar,3 BHK,1420.0,2.0,96.0,3,6760.56338028169
117,7th Phase JP Nagar,3 BHK,1680.0,3.0,120.0,3,7142.857142857143
118,7th Phase JP Nagar,2 BHK,980.0,2.0,69.0,2,7040.816326530612
119,7th Phase JP Nagar,2 BHK,1180.0,2.0,72.0,2,6101.6949152542375
123,7th Phase JP Nagar,3 BHK,1400.0,3.0,115.0,3,8214.285714285714
124,7th Phase JP Nagar,2 BHK,1270.0,2.0,83.0,2,6535.433070866142
126,7th Phase JP Nagar,4 BHK,2503.0,4.0,188.0,4,7510.986815821015
127,7th Phase JP Nagar,3 BHK,2200.0,3.0,190.0,3,8636.363636363636
130,7th Phase JP Nagar,3 BHK,1575.0,2.0,110.0,3,6984.126984126984
131,7th Phase JP Nagar,3 BHK,1850.0,3.0,140.0,3,7567.5675675675675
132,7th Phase JP Nagar,3 BHK,1575.0,2.0,120.0,3,7619.047619047619
133,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
134,7th Phase JP Nagar,3 BHK,1680.0,3.0,120.0,3,7142.857142857143
135,7th Phase JP Nagar,2 BHK,1175.0,2.0,82.5,2,7021.276595744681
138,7th Phase JP Nagar,2 BHK,1215.0,2.0,90.0,2,7407.407407407408
139,7th Phase JP Nagar,2 BHK,1050.0,2.0,75.0,2,7142.857142857143
140,7th Phase JP Nagar,3 BHK,1300.0,3.0,89.13,3,6856.153846153846
141,7th Phase JP Nagar,2 BHK,1130.0,2.0,73.0,2,6460.1769911504425
142,7th Phase JP Nagar,3 BHK,1450.0,3.0,100.0,3,6896.551724137931
144,7th Phase JP Nagar,2 BHK,1050.0,2.0,50.0,2,4761.9047619047615
145,7th Phase JP Nagar,2 BHK,1275.0,2.0,87.0,2,6823.529411764706
147,7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3,6666.666666666667
148,7th Phase JP Nagar,2 BHK,850.0,2.0,42.0,2,4941.176470588235
149,7th Phase JP Nagar,3 BHK,1680.0,3.0,117.0,3,6964.285714285715
150,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
151,7th Phase JP Nagar,2 BHK,1236.0,2.0,61.33,2,4961.974110032363
152,7th Phase JP Nagar,2 BHK,1000.0,2.0,53.0,2,5300.0
153,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476191
154,7th Phase JP Nagar,3 BHK,1675.0,2.0,135.0,3,8059.701492537313
155,7th Phase JP Nagar,2 BHK,1187.0,2.0,59.0,2,4970.513900589722
156,7th Phase JP Nagar,3 BHK,1850.0,3.0,155.0,3,8378.378378378378
157,7th Phase JP Nagar,2 BHK,1000.0,2.0,61.0,2,6100.0
158,7th Phase JP Nagar,3 BHK,1460.0,2.0,100.0,3,6849.315068493151
159,7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3,6666.666666666667
160,7th Phase JP Nagar,2 BHK,1200.0,2.0,62.5,2,5208.333333333333
161,7th Phase JP Nagar,2 BHK,1000.0,2.0,70.65,2,7065.000000000001
162,7th Phase JP Nagar,2 BHK,1080.0,2.0,75.0,2,6944.444444444444
164,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476191
165,7th Phase JP Nagar,3 BHK,1460.0,2.0,97.0,3,6643.835616438356
166,7th Phase JP Nagar,2 BHK,1120.0,2.0,65.0,2,5803.571428571428
167,7th Phase JP Nagar,2 BHK,1100.0,3.0,60.0,2,5454.545454545455
168,7th Phase JP Nagar,3 BHK,1790.0,3.0,120.0,3,6703.91061452514
169,7th Phase JP Nagar,3 BHK,1680.0,3.0,117.0,3,6964.285714285715
170,7th Phase JP Nagar,2 BHK,1050.0,2.0,77.0,2,7333.333333333333
171,7th Phase JP Nagar,2 BHK,1050.0,2.0,75.0,2,7142.857142857143
172,7th Phase JP Nagar,2 BHK,1040.0,2.0,75.0,2,7211.538461538462
173,7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3,6785.714285714285
174,7th Phase JP Nagar,3 BHK,1800.0,3.0,130.0,3,7222.222222222223
175,7th Phase JP Nagar,2 BHK,1050.0,2.0,68.0,2,6476.190476190476
176,7th Phase JP Nagar,2 BHK,1000.0,2.0,60.0,2,6000.0
177,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476191
178,7th Phase JP Nagar,2 BHK,1050.0,2.0,77.47,2,7378.0952380952385
179,7th Phase JP Nagar,2 BHK,1270.0,2.0,80.0,2,6299.212598425197
181,7th Phase JP Nagar,3 BHK,1680.0,3.0,122.0,3,7261.9047619047615
182,7th Phase JP Nagar,2 BHK,1130.0,2.0,85.0,2,7522.123893805309
183,7th Phase JP Nagar,3 BHK,1680.0,3.0,130.0,3,7738.0952380952385
184,7th Phase JP Nagar,2 BHK,980.0,2.0,77.44,2,7902.040816326531
185,7th Phase JP Nagar,3 BHK,1680.0,3.0,112.0,3,6666.666666666667
187,7th Phase JP Nagar,3 BHK,2095.0,3.0,150.0,3,7159.904534606205
188,7th Phase JP Nagar,3 BHK,1976.0,3.0,145.0,3,7338.056680161943
189,7th Phase JP Nagar,3 BHK,1600.0,2.0,110.0,3,6875.0
190,7th Phase JP Nagar,3 BHK,1765.0,3.0,118.0,3,6685.552407932011
191,7th Phase JP Nagar,3 BHK,1275.0,2.0,88.0,3,6901.9607843137255
192,7th Phase JP Nagar,3 BHK,1450.0,2.0,102.0,3,7034.482758620689
193,7th Phase JP Nagar,3 BHK,1575.0,2.0,110.0,3,6984.126984126984
195,7th Phase JP Nagar,1 BHK,750.0,1.0,47.0,1,6266.666666666667
196,7th Phase JP Nagar,2 BHK,990.0,2.0,50.0,2,5050.50505050505
197,7th Phase JP Nagar,1 Bedroom,1000.0,1.0,60.0,1,6000.0
199,7th Phase JP Nagar,3 BHK,1430.0,2.0,102.0,3,7132.867132867133
200,7th Phase JP Nagar,2 BHK,1128.0,2.0,60.0,2,5319.148936170212
201,7th Phase JP Nagar,2 BHK,1140.0,2.0,57.0,2,5000.0
202,7th Phase JP Nagar,3 BHK,1420.0,3.0,90.0,3,6338.028169014085
203,7th Phase JP Nagar,2 BHK,1530.0,2.0,108.0,2,7058.823529411765
204,8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2,5030.740568234746
205,8th Phase JP Nagar,1 BHK,451.0,1.0,29.9,1,6629.711751662971
207,8th Phase JP Nagar,2 BHK,1062.0,2.0,42.47,2,3999.0583804143125
209,8th Phase JP Nagar,3 BHK,1455.0,3.0,73.31,3,5038.487972508591
210,8th Phase JP Nagar,2 BHK,871.0,2.0,55.0,2,6314.580941446613
211,8th Phase JP Nagar,2 BHK,1098.0,2.0,43.91,2,3999.089253187614
212,8th Phase JP Nagar,3 BHK,1800.0,3.0,80.0,3,4444.444444444444
213,8th Phase JP Nagar,4 Bedroom,2700.0,4.0,130.0,4,4814.814814814815
214,8th Phase JP Nagar,2 BHK,1080.0,2.0,38.0,2,3518.5185185185187
215,8th Phase JP Nagar,2 BHK,1059.0,2.0,34.5,2,3257.790368271955
216,8th Phase JP Nagar,2 BHK,1080.0,2.0,35.0,2,3240.740740740741
218,8th Phase JP Nagar,2 BHK,1062.0,2.0,42.47,2,3999.0583804143125
219,8th Phase JP Nagar,1 BHK,500.0,1.0,31.0,1,6200.0
220,8th Phase JP Nagar,2 BHK,1100.0,2.0,35.0,2,3181.818181818182
221,8th Phase JP Nagar,4 BHK,2100.0,4.0,92.0,4,4380.952380952381
222,8th Phase JP Nagar,2 BHK,1035.0,2.0,39.33,2,3800.0
223,8th Phase JP Nagar,2 BHK,909.0,2.0,40.9,2,4499.4499449945
224,8th Phase JP Nagar,3 BHK,1431.5,3.0,72.02,3,5031.086273140063
225,8th Phase JP Nagar,3 Bedroom,1900.0,4.0,90.0,3,4736.8421052631575
226,8th Phase JP Nagar,1 BHK,500.0,1.0,30.0,1,6000.0
227,8th Phase JP Nagar,2 BHK,1125.0,2.0,36.94,2,3283.5555555555557
228,8th Phase JP Nagar,2 BHK,1100.0,2.0,35.0,2,3181.818181818182
229,8th Phase JP Nagar,2 BHK,1089.0,2.0,43.55,2,3999.0817263544536
231,8th Phase JP Nagar,3 BHK,1504.0,2.0,83.0,3,5518.617021276596
232,8th Phase JP Nagar,4 Bedroom,2600.0,4.0,115.0,4,4423.076923076923
234,8th Phase JP Nagar,2 BHK,1089.0,2.0,43.55,2,3999.0817263544536
236,8th Phase JP Nagar,2 BHK,1513.0,2.0,62.0,2,4097.818902842036
237,8th Phase JP Nagar,2 BHK,1298.0,2.0,59.0,2,4545.454545454545
238,8th Phase JP Nagar,2 BHK,1006.0,2.0,44.0,2,4373.75745526839
239,8th Phase JP Nagar,1 BHK,500.0,1.0,33.0,1,6600.0
240,8th Phase JP Nagar,2 BHK,1160.0,2.0,95.0,2,8189.6551724137935
241,8th Phase JP Nagar,2 BHK,1245.0,2.0,59.0,2,4738.955823293173
242,8th Phase JP Nagar,2 BHK,1510.0,2.0,80.0,2,5298.013245033113
243,8th Phase JP Nagar,3 BHK,3300.0,3.0,165.0,3,5000.0
244,8th Phase JP Nagar,5 Bedroom,1730.0,5.0,75.0,5,4335.260115606937
247,8th Phase JP Nagar,2 BHK,1046.0,2.0,48.0,2,4588.910133843212
249,8th Phase JP Nagar,3 BHK,1408.0,3.0,80.0,3,5681.818181818182
251,9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2,4975.124378109453
253,9th Phase JP Nagar,2 BHK,1100.0,2.0,65.0,2,5909.090909090909
254,9th Phase JP Nagar,2 BHK,1080.0,2.0,37.0,2,3425.925925925926
255,9th Phase JP Nagar,2 BHK,1035.0,2.0,45.0,2,4347.826086956522
256,9th Phase JP Nagar,4 BHK,5000.0,4.0,290.0,4,5800.0
257,9th Phase JP Nagar,2 BHK,1164.0,2.0,56.0,2,4810.996563573884
258,9th Phase JP Nagar,2 BHK,1005.0,2.0,42.0,2,4179.104477611941
259,9th Phase JP Nagar,2 BHK,1127.0,2.0,50.0,2,4436.557231588287
260,9th Phase JP Nagar,2 BHK,1005.0,2.0,43.0,2,4278.606965174129
261,9th Phase JP Nagar,2 BHK,835.0,2.0,37.0,2,4431.137724550898
262,9th Phase JP Nagar,2 BHK,1050.0,2.0,39.0,2,3714.285714285714
263,9th Phase JP Nagar,2 BHK,660.0,2.0,27.0,2,4090.909090909091
264,9th Phase JP Nagar,1 BHK,600.0,1.0,20.0,1,3333.3333333333335
265,9th Phase JP Nagar,2 BHK,1466.0,2.0,71.0,2,4843.110504774898
266,9th Phase JP Nagar,3 BHK,1890.0,2.0,93.0,3,4920.6349206349205
267,9th Phase JP Nagar,2 BHK,1079.0,2.0,60.0,2,5560.704355885079
268,9th Phase JP Nagar,2 BHK,1480.0,2.0,80.0,2,5405.405405405405
269,9th Phase JP Nagar,2 Bedroom,1200.0,2.0,80.0,2,6666.666666666667
270,9th Phase JP Nagar,2 BHK,905.0,2.0,32.0,2,3535.9116022099447
271,9th Phase JP Nagar,2 BHK,1073.0,2.0,52.36,2,4879.77632805219
272,9th Phase JP Nagar,3 BHK,1719.3,2.0,88.0,3,5118.362124120282
273,9th Phase JP Nagar,3 BHK,1780.0,3.0,88.0,3,4943.820224719101
275,9th Phase JP Nagar,3 BHK,1522.0,3.0,90.0,3,5913.272010512484
278,9th Phase JP Nagar,2 BHK,890.0,2.0,45.0,2,5056.179775280899
280,9th Phase JP Nagar,4 BHK,5000.0,4.0,300.0,4,6000.0
282,9th Phase JP Nagar,2 BHK,1050.0,2.0,35.0,2,3333.3333333333335
283,9th Phase JP Nagar,2 BHK,1331.95,2.0,69.0,2,5180.374638687638
284,AECS Layout,2 BHK,1100.0,2.0,45.0,2,4090.909090909091
285,AECS Layout,2 BHK,1028.0,2.0,42.0,2,4085.603112840467
286,AECS Layout,2 BHK,1199.0,2.0,65.0,2,5421.184320266889
287,AECS Layout,2 BHK,1080.0,2.0,55.0,2,5092.592592592592
288,AECS Layout,2 BHK,1123.0,2.0,64.0,2,5699.020480854853
289,AECS Layout,2 BHK,1308.0,2.0,60.0,2,4587.155963302752
290,AECS Layout,2 BHK,1005.0,2.0,55.0,2,5472.636815920398
292,Abbigere,2 BHK,985.0,2.0,40.39,2,4100.507614213198
293,Abbigere,6 Bedroom,2200.0,6.0,68.0,6,3090.909090909091
294,Abbigere,1 BHK,765.0,2.0,30.0,1,3921.5686274509803
295,Abbigere,2 BHK,880.0,2.0,35.0,2,3977.2727272727275
296,Abbigere,2 BHK,795.0,2.0,32.54,2,4093.0817610062895
297,Abbigere,2 BHK,1005.0,2.0,39.59,2,3939.303482587065
298,Abbigere,1 BHK,734.0,1.0,19.82,1,2700.272479564033
300,Abbigere,2 BHK,1020.0,2.0,41.82,2,4100.0
301,Abbigere,2 BHK,985.0,2.0,40.39,2,4100.507614213198
302,Abbigere,6 Bedroom,2500.0,6.0,81.0,6,3240.0
303,Abbigere,2 BHK,795.0,2.0,32.54,2,4093.0817610062895
304,Abbigere,2 BHK,1130.0,2.0,46.33,2,4100.0
305,Abbigere,2 BHK,795.0,1.0,32.6,2,4100.62893081761
306,Abbigere,8 Bedroom,3000.0,8.0,150.0,8,5000.0
307,Abbigere,2 BHK,985.0,2.0,38.92,2,3951.269035532995
308,Abbigere,2 BHK,1000.0,2.0,41.0,2,4100.0
309,Abbigere,2 BHK,995.0,2.0,40.8,2,4100.5025125628135
310,Abbigere,2 BHK,1020.0,2.0,40.8,2,3999.9999999999995
311,Akshaya Nagar,2 BHK,1388.0,2.0,57.0,2,4106.628242074928
312,Akshaya Nagar,2 BHK,1070.0,2.0,54.0,2,5046.728971962617
313,Akshaya Nagar,2 BHK,1280.0,2.0,58.0,2,4531.25
314,Akshaya Nagar,3 BHK,1662.0,3.0,85.1,3,5120.336943441636
315,Akshaya Nagar,3 BHK,1897.0,3.0,120.0,3,6325.77754348972
316,Akshaya Nagar,3 BHK,1410.0,2.0,75.0,3,5319.148936170212
317,Akshaya Nagar,3 BHK,1360.0,2.0,85.0,3,6250.0
319,Akshaya Nagar,3 BHK,1410.0,2.0,80.0,3,5673.758865248227
320,Akshaya Nagar,3 BHK,1662.0,3.0,85.0,3,5114.320096269555
321,Akshaya Nagar,3 BHK,1662.0,3.0,85.5,3,5144.404332129964
322,Akshaya Nagar,2 BHK,1280.0,2.0,60.0,2,4687.5
323,Akshaya Nagar,3 BHK,1666.0,3.0,95.0,3,5702.280912364946
324,Akshaya Nagar,3 BHK,1575.0,3.0,90.0,3,5714.285714285715
325,Akshaya Nagar,3 BHK,1430.0,2.0,75.0,3,5244.755244755244
326,Akshaya Nagar,3 BHK,1419.0,2.0,73.0,3,5144.46793516561
327,Akshaya Nagar,2 BHK,1280.0,2.0,60.0,2,4687.5
328,Akshaya Nagar,2 BHK,1200.0,2.0,50.0,2,4166.666666666667
329,Akshaya Nagar,2 BHK,1092.0,2.0,60.0,2,5494.505494505494
330,Akshaya Nagar,3 BHK,1690.0,3.0,85.0,3,5029.585798816568
332,Akshaya Nagar,3 BHK,1897.0,4.0,93.0,3,4902.477596204533
333,Akshaya Nagar,3 BHK,1884.0,3.0,98.0,3,5201.698513800425
334,Akshaya Nagar,2 BHK,1314.0,2.0,68.8,2,5235.920852359209
335,Akshaya Nagar,3 BHK,1690.0,3.0,85.0,3,5029.585798816568
336,Akshaya Nagar,2 BHK,1265.0,2.0,67.0,2,5296.442687747036
337,Akshaya Nagar,2 BHK,1126.0,2.0,55.0,2,4884.547069271758
339,Akshaya Nagar,3 BHK,1662.0,3.0,90.0,3,5415.162454873646
340,Akshaya Nagar,3 BHK,1420.0,2.0,75.0,3,5281.69014084507
341,Akshaya Nagar,3 BHK,1412.0,2.0,88.0,3,6232.294617563739
342,Akshaya Nagar,3 BHK,1434.0,3.0,84.0,3,5857.740585774059
343,Akshaya Nagar,3 BHK,1890.0,4.0,100.0,3,5291.005291005291
345,Akshaya Nagar,3 BHK,1419.0,2.0,87.0,3,6131.0782241014795
346,Akshaya Nagar,2 BHK,1300.0,2.0,54.0,2,4153.846153846154
347,Akshaya Nagar,3 BHK,1690.0,3.0,85.0,3,5029.585798816568
348,Akshaya Nagar,2 BHK,1113.0,2.0,52.0,2,4672.057502246182
349,Akshaya Nagar,3 BHK,1820.0,4.0,95.0,3,5219.780219780219
350,Akshaya Nagar,2 BHK,1100.0,2.0,48.0,2,4363.636363636364
351,Akshaya Nagar,3 BHK,1896.0,3.0,102.0,3,5379.7468354430375
352,Akshaya Nagar,2 BHK,1300.0,2.0,66.0,2,5076.923076923077
353,Akshaya Nagar,2 BHK,1225.0,2.0,68.0,2,5551.0204081632655
354,Akshaya Nagar,2 BHK,1179.0,2.0,51.0,2,4325.699745547074
355,Akshaya Nagar,3 BHK,1421.0,2.0,73.0,3,5137.227304714989
356,Akshaya Nagar,3 BHK,1893.0,4.0,95.0,3,5018.489170628632
357,Akshaya Nagar,2 BHK,900.0,2.0,45.0,2,5000.0
358,Ambalipura,2 BHK,1105.0,2.0,75.0,2,6787.330316742082
359,Ambalipura,3 BHK,1800.0,3.0,110.0,3,6111.111111111111
360,Ambalipura,2 BHK,1150.0,2.0,80.0,2,6956.521739130435
361,Ambalipura,2 BHK,1250.0,2.0,66.25,2,5300.0
362,Ambalipura,2 BHK,1332.0,2.0,79.0,2,5930.930930930931
363,Ambalipura,3 BHK,1730.0,3.0,120.0,3,6936.416184971098
365,Ambalipura,2 BHK,1230.0,2.0,66.25,2,5386.178861788618
366,Ambalipura,2 BHK,1351.0,2.0,77.0,2,5699.481865284974
370,Ambalipura,2 BHK,1303.0,2.0,80.0,2,6139.677666922486
371,Ambalipura,3 BHK,1607.0,2.0,112.0,3,6969.508400746733
372,Ambalipura,1 BHK,770.0,1.0,43.82,1,5690.909090909091
373,Ambalipura,2 BHK,1700.0,2.0,76.0,2,4470.588235294118
374,Ambalipura,2 BHK,1060.0,2.0,58.5,2,5518.867924528302
375,Ambalipura,3 BHK,1650.0,3.0,100.0,3,6060.606060606061
376,Ambalipura,3 BHK,1607.0,2.0,112.0,3,6969.508400746733
377,Ambalipura,2 BHK,1198.0,2.0,80.0,2,6677.79632721202
378,Ambedkar Nagar,3 BHK,1935.0,4.0,130.0,3,6718.3462532299745
379,Ambedkar Nagar,2 BHK,1424.0,2.0,90.0,2,6320.224719101124
380,Ambedkar Nagar,3 BHK,2225.0,4.0,169.0,3,7595.505617977528
381,Ambedkar Nagar,3 BHK,1862.0,3.0,120.0,3,6444.68313641246
382,Ambedkar Nagar,3 BHK,1850.0,4.0,139.0,3,7513.513513513513
383,Ambedkar Nagar,3 BHK,1936.0,4.0,126.0,3,6508.264462809917
384,Ambedkar Nagar,3 BHK,1862.0,3.0,119.0,3,6390.977443609023
385,Ambedkar Nagar,2 BHK,1424.0,2.0,90.0,2,6320.224719101124
386,Ambedkar Nagar,3 BHK,2150.0,4.0,125.0,3,5813.953488372093
